proper_name,designation,ra_deg_j2000,dec_deg_j2000,hip,vmag
,Chi3For,52.048004999999996,-35.853426,16156,6.49
,66    Ari,52.11069,22.804006,16181,6.03
,34    Per,52.341840000000005,49.508948,16244,4.67
,Kap Ret,52.34337,-62.937527,16245,4.71
,4    Tau,52.601955000000004,11.336442,16322,5.14
,35Sig Per,52.643685,47.995216,16335,4.36
,17    Eri,52.65441,-5.075145,16341,4.74
,5    Tau,52.718235,12.936678,16369,4.14
,36    Per,53.109465,46.056862,16499,5.3
,6    Tau,53.149785,9.373438,16511,5.76
Ran,18Eps Eri,53.23272,-9.458262,16537,3.72
,19Tau5Eri,53.446979999999996,-21.632883,16611,4.26
,7    Tau,53.61093,24.464393,16664,5.95
,20    Eri,54.072554999999994,-17.467064,16803,5.24
,37Psi Per,54.122385,48.192634,16826,4.32
,10    Tau,54.218265,0.401662,16852,4.29
,Tau For,54.698625,-27.943054,17007,6.01
,21    Eri,54.754650000000005,-5.62621,17027,5.97
Tupi,,54.929880000000004,-52.915838,17096,7.12
,12    Tau,54.963015,3.056863,17103,5.55
,22    Eri,55.159725,-5.210706,17167,5.53
,11    Tau,55.19295,25.329492,17181,6.11
,Del For,55.562085,-31.938361,17304,4.99
,13    Tau,55.578945,19.700254,17309,5.68
,40    Per,55.594364999999996,33.965026,17313,4.97
,39Del Per,55.73124,47.787551,17358,3.01
Rana,23Del Eri,55.81209,-9.763395,17378,3.52
,14    Tau,55.9467,19.665032,17408,6.13
,Bet Ret,56.048895,-64.806903,17440,3.84
Atik,38Omi Per,56.07972,32.288248,17448,3.84
,24    Eri,56.12712,-1.163091,17457,5.24
Celaeno,16    Tau,56.200889999999994,24.28947,17489,5.45
Electra,17    Tau,56.218905,24.113339,17499,3.72
,25    Eri,56.235405,-0.29672,17506,5.56
,18    Tau,56.290575000000004,24.83926,17527,5.66
,41Nu  Per,56.298480000000005,42.578549,17529,3.77
Taygeta,19    Tau,56.30205,24.467278,17531,4.3
,29    Tau,56.41851,6.049991,17563,5.34
Maia,20    Tau,56.456685,24.367748,17573,3.87
Asterope,21    Tau,56.47698,24.554511,17579,5.76
,22    Tau,56.512080000000005,24.527898,17588,6.43
,26Pi  Eri,56.535555,-12.101589,17593,4.43
Merope,23    Tau,56.58156,23.948358,17608,4.14
,Sig For,56.61429,-29.338157,17618,5.91
,27Tau6Eri,56.712059999999994,-23.249723,17651,4.22
,Gam Hyi,56.809425,-74.238962,17678,3.26
Alcyone,25Eta Tau,56.87115,24.105137,17702,2.85
,28Tau7Eri,56.915205,-23.874677,17717,5.24
,Rho For,56.9835,-30.167882,17738,5.52
,30    Tau,57.067785,11.143294,17771,5.08
